it,Bits weights,Bits act,l1.CD,l1.Powell,l2.CD,l2.Powell,l3.CD,l3.Powell
init,32,4,58.60%,58.60%,68.10%,68.10%,68.20%,68.60%
iter 1,32,4,67.80%,67.80%,68.70%,68.10%,68.80%,68.20%
iter 2,32,4,68.40%,68.60%,68.70%,68.20%,68.20%,68.20%
init,32,3,38.50%,38.50%,63.30%,63.30%,65.70%,65.70%
iter 1,32,3,64.30%,64.60%,66.40%,64.80%,65.70%,66.20%
iter 2,32,3,66.20%,64.60%,65.40%,65.70%,65.00%,66.20%
init,32,2,4.70%,4.70%,33.00%,33.00%,47.80%,47.80%
iter 1,32,2,23.90%,23.90%,45.60%,47.80%,51.20%,49.00%
iter 2,32,2,41.70%,41.70%,51.80%,51.00%,48.90%,49.10%
init,4,32,0.50%,0.50%,48.70%,48.70%,57.20%,57.20%
iter 1,4,32,34.20%,36.20%,50.00%,61.20%,56.20%,62.20%
iter 2,4,32,54.80%,58.50%,59.70%,62.10%,53.30%,62.60%
init,3,32,0.10%,0.10%,4.00%,4.00%,19.80%,19.80%
iter 1,3,32,0.10%,0.10%,36.30%,36.20%,0.30%,37.90%
iter 2,3,32,0.10%,0.10%,33.00%,42.30%,0.70%,40.70%
init,4,4,0.30%,0.30%,43.60%,43.60%,55.40%,55.40%
iter 1,4,4,0.10%,20.70%,54.30%,60.20%,56.30%,58.50%
iter 2,4,4,0.10%,45.00%,55.30%,60.20%,57.40%,58.60%